,aqi,city,clouds_all,components_co,components_nh3,components_no,components_no2,components_o3,components_pm10,components_pm2_5,components_so2,dt,feels_like,humidity,lat,lon,pressure,sunrise,sunset,temp,temp_max,temp_min,visibility,weather_description,weather_icon,weather_id,weather_main,wind_deg,wind_speed,dt_pt
64,1.0,Pleasant Hill,7.0,247.0,1.0,0.01,26.05,26.82,5.48,2.66,3.19,1622785345.0,288.02,74.0,37.948,-122.0608,1006.0,1622724413.0,1622777182.0,288.5,293.16,285.06,10000.0,clear sky,01n,800.0,Clear,255.0,2.24,2021-06-03 22:50:14.437531
65,1.0,Pleasanton,1.0,223.64,0.91,0.0,16.79,31.83,8.18,3.06,2.3,1622785348.0,288.14,72.0,37.6624,-121.8747,1011.0,1622724418.0,1622777089.0,288.65,292.71,284.22,10000.0,clear sky,01n,800.0,Clear,300.0,3.09,2021-06-03 22:50:14.437531
66,1.0,Portola Valley,1.0,165.22,0.0,0.0,1.02,52.21,4.15,1.76,0.83,1622785144.0,287.66,76.0,37.3841,-122.2352,1011.0,1622724552.0,1622777128.0,288.12,291.58,283.31,10000.0,clear sky,01n,800.0,Clear,94.0,0.89,2021-06-03 22:50:14.437531
67,1.0,Redwood City,1.0,166.89,0.09,0.0,3.04,50.07,3.76,1.66,1.13,1622785353.0,288.36,76.0,37.4852,-122.2364,1010.0,1622724535.0,1622777145.0,288.76,292.88,284.18,10000.0,clear sky,01n,800.0,Clear,0.0,0.0,2021-06-03 22:50:14.437531
68,1.0,Richmond,90.0,180.24,0.05,0.0,1.25,20.92,0.61,0.59,0.17,1622784993.0,295.3,92.0,37.5538,-77.4603,1017.0,1622800162.0,1622852843.0,294.69,295.53,293.12,10000.0,overcast clouds,04n,804.0,Clouds,161.0,0.45,2021-06-03 22:50:14.437531
69,1.0,Rio Vista,7.0,213.62,0.91,0.0,16.28,43.27,3.52,1.8,4.83,1622785358.0,292.17,56.0,38.1558,-121.6913,1008.0,1622724289.0,1622777130.0,292.7,298.21,286.14,10000.0,clear sky,01n,800.0,Clear,233.0,5.13,2021-06-03 22:50:14.437531
70,1.0,Rohnert Park,1.0,165.22,0.5,0.0,1.65,48.64,1.19,0.76,0.24,1622785361.0,289.95,64.0,38.3396,-122.7011,1009.0,1622724499.0,1622777404.0,290.49,293.05,284.91,10000.0,clear sky,01n,800.0,Clear,254.0,4.47,2021-06-03 22:50:14.437531
71,1.0,Ross,90.0,257.02,0.23,0.0,3.51,25.03,6.51,6.3,1.21,1622785363.0,290.0,100.0,39.3501,-83.0666,1015.0,1622801190.0,1622854507.0,289.68,291.01,289.04,10000.0,overcast clouds,04n,804.0,Clouds,267.0,1.84,2021-06-03 22:50:14.437531
72,1.0,St. Helena,100.0,208.62,0.0,0.0,0.03,47.92,13.07,6.44,0.2,1622785366.0,292.04,69.0,-15.95,-5.7,1017.0,1622789081.0,1622829475.0,292.27,292.27,292.27,10000.0,overcast clouds,04n,804.0,Clouds,118.0,7.21,2021-06-03 22:50:14.437531
73,1.0,San Anselmo,1.0,163.56,0.33,0.0,1.61,50.07,3.11,1.36,0.58,1622785297.0,287.47,78.0,37.9747,-122.5616,1009.0,1622724529.0,1622777307.0,287.9,293.15,285.01,10000.0,clear sky,01n,800.0,Clear,246.0,2.76,2021-06-03 22:50:14.437531
